,City ID,City,Country,Lat,Long,Date,Temp Max,Humidity,Cloudiness,Wind Speed
0,3418910,Upernavik,GL,72.79,-56.15,11/24/20,6.170000000000062,77,11,4.57
1,3372964,Lagoa,PT,39.05,-27.98,11/24/20,56.80400000000005,62,16,6.53
2,3652764,Puerto Ayora,EC,-0.74,-90.35,11/24/20,71.99600000000005,88,52,4.02
3,2136825,Isangel,VU,-19.55,169.27,11/24/20,84.2,74,75,4.1
4,1337605,Mahibadhoo,MV,3.78,72.97,11/24/20,82.83200000000002,66,55,2.28
5,3421719,Narsaq,GL,60.92,-46.05,11/24/20,33.8,86,100,12.9
6,934322,Mahébourg,MU,-20.41,57.7,11/24/20,77.0,83,75,5.1
7,894701,Bulawayo,ZW,-20.15,28.58,11/24/20,66.39800000000002,76,95,2.26
8,2075265,Busselton,AU,-33.65,115.33,11/24/20,78.99800000000002,30,25,1.45
9,4231997,Avera,US,33.19,-82.53,11/24/20,53.6,76,90,2.6
10,1224061,Wattegama,LK,6.8,81.48,11/24/20,82.4,83,40,1.0
11,2015306,Tiksi,RU,71.69,128.87,11/24/20,-1.6959999999999482,92,93,3.55
12,2026861,Berdigestyakh,RU,62.1,126.7,11/24/20,-0.6339999999999435,90,100,4.99
13,5983720,Iqaluit,CA,63.75,-68.51,11/24/20,1.3999999999999986,70,75,3.6
14,3833367,Ushuaia,AR,-54.8,-68.3,11/24/20,41.0,86,40,2.6
15,2194098,Ahipara,NZ,-35.17,173.17,11/24/20,68.07200000000003,66,4,7.87
16,2126123,Chokurdakh,RU,70.63,147.92,11/24/20,-1.119999999999962,93,100,4.8
17,2064735,Nhulunbuy,AU,-12.23,136.77,11/24/20,95.0,53,0,7.2
18,553766,Kamenka,RU,51.32,42.77,11/24/20,31.73000000000004,99,100,4.18
19,6201424,Mataura,NZ,-46.19,168.86,11/24/20,71.00600000000003,48,0,2.68
20,1024696,Dondo,MZ,-19.61,34.74,11/24/20,77.0,100,75,1.0
21,1684606,Taganak,PH,6.08,118.3,11/24/20,84.2,79,40,2.1
22,1791779,Wanning,CN,18.8,110.4,11/24/20,77.86400000000003,82,42,6.47
23,4030556,Rikitea,PF,-23.12,-134.97,11/24/20,75.542,82,100,6.92
24,3430863,Mar del Plata,AR,-38.0,-57.56,11/24/20,64.99400000000007,100,44,3.31
